description,proteins,fats,carbohydrates,calories,answer
acerola juice raw,0.4,0.3,4.8,23.0,"{""proteins"": 0.4, ""fats"": 0.3, ""carbohydrates"": 4.8, ""calories"": 23.0}"
apples raw with skin,0.26,0.17,13.81,52.0,"{""proteins"": 0.26, ""fats"": 0.17, ""carbohydrates"": 13.81, ""calories"": 52.0}"
apples raw without skin,0.27,0.13,12.76,48.0,"{""proteins"": 0.27, ""fats"": 0.13, ""carbohydrates"": 12.76, ""calories"": 48.0}"
apples raw without skin cooked boiled,0.26,0.36,13.64,53.0,"{""proteins"": 0.26, ""fats"": 0.36, ""carbohydrates"": 13.64, ""calories"": 53.0}"
apples raw without skin cooked microwave,0.28,0.42,14.41,56.0,"{""proteins"": 0.28, ""fats"": 0.42, ""carbohydrates"": 14.41, ""calories"": 56.0}"
apples canned sweetened sliced drained unheated,0.18,0.49,16.7,67.0,"{""proteins"": 0.18, ""fats"": 0.49, ""carbohydrates"": 16.7, ""calories"": 67.0}"
apples canned sweetened sliced drained heated,0.18,0.43,16.84,67.0,"{""proteins"": 0.18, ""fats"": 0.43, ""carbohydrates"": 16.84, ""calories"": 67.0}"
apples dehydrated (low moisture) sulfured uncooked,1.32,0.58,93.53,346.0,"{""proteins"": 1.32, ""fats"": 0.58, ""carbohydrates"": 93.53, ""calories"": 346.0}"
apples dehydrated (low moisture) sulfured stewed,0.28,0.12,19.91,74.0,"{""proteins"": 0.28, ""fats"": 0.12, ""carbohydrates"": 19.91, ""calories"": 74.0}"
apples dried sulfured uncooked,0.93,0.32,65.89,243.0,"{""proteins"": 0.93, ""fats"": 0.32, ""carbohydrates"": 65.89, ""calories"": 243.0}"
apples dried sulfured stewed without added sugar,0.22,0.07,15.32,57.0,"{""proteins"": 0.22, ""fats"": 0.07, ""carbohydrates"": 15.32, ""calories"": 57.0}"
apples dried sulfured stewed with added sugar,0.2,0.07,20.73,83.0,"{""proteins"": 0.2, ""fats"": 0.07, ""carbohydrates"": 20.73, ""calories"": 83.0}"
apples frozen unsweetened unheated,0.28,0.32,12.31,48.0,"{""proteins"": 0.28, ""fats"": 0.32, ""carbohydrates"": 12.31, ""calories"": 48.0}"
apples frozen unsweetened heated,0.29,0.33,12.0,47.0,"{""proteins"": 0.29, ""fats"": 0.33, ""carbohydrates"": 12.0, ""calories"": 47.0}"
apple juice canned or bottled unsweetened without added ascorbic acid,0.1,0.13,11.3,46.0,"{""proteins"": 0.1, ""fats"": 0.13, ""carbohydrates"": 11.3, ""calories"": 46.0}"
apple juice frozen concentrate unsweetened undiluted without added ascorbic acid,0.51,0.37,41.0,166.0,"{""proteins"": 0.51, ""fats"": 0.37, ""carbohydrates"": 41.0, ""calories"": 166.0}"
apple juice frozen concentrate unsweetened diluted with 3 volume water without added ascorbic acid,0.14,0.1,11.54,47.0,"{""proteins"": 0.14, ""fats"": 0.1, ""carbohydrates"": 11.54, ""calories"": 47.0}"
applesauce canned unsweetened without added ascorbic acid (includes usda commodity),0.17,0.1,11.27,42.0,"{""proteins"": 0.17, ""fats"": 0.1, ""carbohydrates"": 11.27, ""calories"": 42.0}"
applesauce canned sweetened without salt (includes usda commodity),0.16,0.17,17.49,68.0,"{""proteins"": 0.16, ""fats"": 0.17, ""carbohydrates"": 17.49, ""calories"": 68.0}"
apricots raw,1.4,0.39,11.12,48.0,"{""proteins"": 1.4, ""fats"": 0.39, ""carbohydrates"": 11.12, ""calories"": 48.0}"
apricots canned water pack with skin solids and liquids,0.71,0.16,6.39,27.0,"{""proteins"": 0.71, ""fats"": 0.16, ""carbohydrates"": 6.39, ""calories"": 27.0}"
apricots canned water pack without skin solids and liquids,0.69,0.03,5.48,22.0,"{""proteins"": 0.69, ""fats"": 0.03, ""carbohydrates"": 5.48, ""calories"": 22.0}"
apricots canned juice pack with skin solids and liquids,0.63,0.04,12.34,48.0,"{""proteins"": 0.63, ""fats"": 0.04, ""carbohydrates"": 12.34, ""calories"": 48.0}"
apricots canned extra light syrup pack with skin solids and liquids,0.6,0.1,12.5,49.0,"{""proteins"": 0.6, ""fats"": 0.1, ""carbohydrates"": 12.5, ""calories"": 49.0}"
apricots canned light syrup pack with skin solids and liquids,0.53,0.05,16.49,63.0,"{""proteins"": 0.53, ""fats"": 0.05, ""carbohydrates"": 16.49, ""calories"": 63.0}"
apricots canned heavy syrup pack with skin solids and liquids,0.53,0.08,21.47,83.0,"{""proteins"": 0.53, ""fats"": 0.08, ""carbohydrates"": 21.47, ""calories"": 83.0}"
apricots canned heavy syrup pack without skin solids and liquids,0.51,0.09,21.45,83.0,"{""proteins"": 0.51, ""fats"": 0.09, ""carbohydrates"": 21.45, ""calories"": 83.0}"
apricots canned extra heavy syrup pack without skin solids and liquids,0.55,0.04,24.85,96.0,"{""proteins"": 0.55, ""fats"": 0.04, ""carbohydrates"": 24.85, ""calories"": 96.0}"
apricots dehydrated (low-moisture) sulfured uncooked,4.9,0.62,82.89,320.0,"{""proteins"": 4.9, ""fats"": 0.62, ""carbohydrates"": 82.89, ""calories"": 320.0}"
apricots dehydrated (low-moisture) sulfured stewed,1.93,0.24,32.62,126.0,"{""proteins"": 1.93, ""fats"": 0.24, ""carbohydrates"": 32.62, ""calories"": 126.0}"
apricots dried sulfured uncooked,3.39,0.51,62.64,241.0,"{""proteins"": 3.39, ""fats"": 0.51, ""carbohydrates"": 62.64, ""calories"": 241.0}"
apricots dried sulfured stewed without added sugar,1.2,0.18,22.15,85.0,"{""proteins"": 1.2, ""fats"": 0.18, ""carbohydrates"": 22.15, ""calories"": 85.0}"
apricots dried sulfured stewed with added sugar,1.17,0.15,29.26,113.0,"{""proteins"": 1.17, ""fats"": 0.15, ""carbohydrates"": 29.26, ""calories"": 113.0}"
apricots frozen sweetened,0.7,0.1,25.1,98.0,"{""proteins"": 0.7, ""fats"": 0.1, ""carbohydrates"": 25.1, ""calories"": 98.0}"
apricot nectar canned without added ascorbic acid,0.37,0.09,14.39,56.0,"{""proteins"": 0.37, ""fats"": 0.09, ""carbohydrates"": 14.39, ""calories"": 56.0}"
avocados raw all commercial varieties,2.0,14.66,8.53,160.0,"{""proteins"": 2.0, ""fats"": 14.66, ""carbohydrates"": 8.53, ""calories"": 160.0}"
avocados raw california,1.96,15.41,8.64,167.0,"{""proteins"": 1.96, ""fats"": 15.41, ""carbohydrates"": 8.64, ""calories"": 167.0}"
avocados raw florida,2.23,10.06,7.82,120.0,"{""proteins"": 2.23, ""fats"": 10.06, ""carbohydrates"": 7.82, ""calories"": 120.0}"
bananas raw,1.09,0.33,22.84,89.0,"{""proteins"": 1.09, ""fats"": 0.33, ""carbohydrates"": 22.84, ""calories"": 89.0}"
bananas dehydrated or banana powder,3.89,1.81,88.28,346.0,"{""proteins"": 3.89, ""fats"": 1.81, ""carbohydrates"": 88.28, ""calories"": 346.0}"
blackberries raw,1.39,0.49,9.61,43.0,"{""proteins"": 1.39, ""fats"": 0.49, ""carbohydrates"": 9.61, ""calories"": 43.0}"
blackberry juice canned,0.3,0.6,7.8,38.0,"{""proteins"": 0.3, ""fats"": 0.6, ""carbohydrates"": 7.8, ""calories"": 38.0}"
cherries tart dried sweetened,1.25,0.73,80.45,333.0,"{""proteins"": 1.25, ""fats"": 0.73, ""carbohydrates"": 80.45, ""calories"": 333.0}"
blackberries canned heavy syrup solids and liquids,1.31,0.14,23.1,92.0,"{""proteins"": 1.31, ""fats"": 0.14, ""carbohydrates"": 23.1, ""calories"": 92.0}"
blackberries frozen unsweetened,1.18,0.43,15.67,64.0,"{""proteins"": 1.18, ""fats"": 0.43, ""carbohydrates"": 15.67, ""calories"": 64.0}"
blueberries raw,0.74,0.33,14.49,57.0,"{""proteins"": 0.74, ""fats"": 0.33, ""carbohydrates"": 14.49, ""calories"": 57.0}"
blueberries canned heavy syrup solids and liquids,0.65,0.33,22.06,88.0,"{""proteins"": 0.65, ""fats"": 0.33, ""carbohydrates"": 22.06, ""calories"": 88.0}"
blueberries wild frozen,0.0,0.16,13.85,57.0,"{""proteins"": 0.0, ""fats"": 0.16, ""carbohydrates"": 13.85, ""calories"": 57.0}"
blueberries frozen unsweetened,0.42,0.64,12.17,51.0,"{""proteins"": 0.42, ""fats"": 0.64, ""carbohydrates"": 12.17, ""calories"": 51.0}"
blueberries frozen sweetened,0.4,0.13,21.95,85.0,"{""proteins"": 0.4, ""fats"": 0.13, ""carbohydrates"": 21.95, ""calories"": 85.0}"
boysenberries canned heavy syrup,0.99,0.12,22.31,88.0,"{""proteins"": 0.99, ""fats"": 0.12, ""carbohydrates"": 22.31, ""calories"": 88.0}"
boysenberries frozen unsweetened,1.1,0.26,12.19,50.0,"{""proteins"": 1.1, ""fats"": 0.26, ""carbohydrates"": 12.19, ""calories"": 50.0}"
breadfruit raw,1.07,0.23,27.12,103.0,"{""proteins"": 1.07, ""fats"": 0.23, ""carbohydrates"": 27.12, ""calories"": 103.0}"
carambola (starfruit) raw,1.04,0.33,6.73,31.0,"{""proteins"": 1.04, ""fats"": 0.33, ""carbohydrates"": 6.73, ""calories"": 31.0}"
carissa (natal-plum) raw,0.5,1.3,13.63,62.0,"{""proteins"": 0.5, ""fats"": 1.3, ""carbohydrates"": 13.63, ""calories"": 62.0}"
cherimoya raw,1.57,0.68,17.71,75.0,"{""proteins"": 1.57, ""fats"": 0.68, ""carbohydrates"": 17.71, ""calories"": 75.0}"
cherries sour red raw,1.0,0.3,12.18,50.0,"{""proteins"": 1.0, ""fats"": 0.3, ""carbohydrates"": 12.18, ""calories"": 50.0}"
cherries sour red canned water pack solids and liquids (includes usda commodity red tart cherries canned),0.77,0.1,8.94,36.0,"{""proteins"": 0.77, ""fats"": 0.1, ""carbohydrates"": 8.94, ""calories"": 36.0}"
cherries sour red canned light syrup pack solids and liquids,0.74,0.1,19.3,75.0,"{""proteins"": 0.74, ""fats"": 0.1, ""carbohydrates"": 19.3, ""calories"": 75.0}"
cherries sour red canned heavy syrup pack solids and liquids,0.73,0.1,23.27,91.0,"{""proteins"": 0.73, ""fats"": 0.1, ""carbohydrates"": 23.27, ""calories"": 91.0}"
cherries sour red canned extra heavy syrup pack solids and liquids,0.71,0.09,29.23,114.0,"{""proteins"": 0.71, ""fats"": 0.09, ""carbohydrates"": 29.23, ""calories"": 114.0}"
cherries sour red frozen unsweetened,0.92,0.44,11.02,46.0,"{""proteins"": 0.92, ""fats"": 0.44, ""carbohydrates"": 11.02, ""calories"": 46.0}"
cherries sweet raw,1.06,0.2,16.01,63.0,"{""proteins"": 1.06, ""fats"": 0.2, ""carbohydrates"": 16.01, ""calories"": 63.0}"
cherries sweet canned water pack solids and liquids,0.77,0.13,11.76,46.0,"{""proteins"": 0.77, ""fats"": 0.13, ""carbohydrates"": 11.76, ""calories"": 46.0}"
cherries sweet canned juice pack solids and liquids,0.91,0.02,13.81,54.0,"{""proteins"": 0.91, ""fats"": 0.02, ""carbohydrates"": 13.81, ""calories"": 54.0}"
cherries sweet canned light syrup pack solids and liquids,0.61,0.15,17.29,67.0,"{""proteins"": 0.61, ""fats"": 0.15, ""carbohydrates"": 17.29, ""calories"": 67.0}"
cherries sweet canned pitted heavy syrup pack solids and liquids,0.6,0.15,21.27,83.0,"{""proteins"": 0.6, ""fats"": 0.15, ""carbohydrates"": 21.27, ""calories"": 83.0}"
cherries sweet canned extra heavy syrup pack solids and liquids,0.59,0.15,26.23,102.0,"{""proteins"": 0.59, ""fats"": 0.15, ""carbohydrates"": 26.23, ""calories"": 102.0}"
cherries sweet frozen sweetened,1.15,0.13,22.36,89.0,"{""proteins"": 1.15, ""fats"": 0.13, ""carbohydrates"": 22.36, ""calories"": 89.0}"
crabapples raw,0.4,0.3,19.95,76.0,"{""proteins"": 0.4, ""fats"": 0.3, ""carbohydrates"": 19.95, ""calories"": 76.0}"
cranberries raw,0.46,0.13,11.97,46.0,"{""proteins"": 0.46, ""fats"": 0.13, ""carbohydrates"": 11.97, ""calories"": 46.0}"
cranberries dried sweetened,0.17,1.09,82.8,308.0,"{""proteins"": 0.17, ""fats"": 1.09, ""carbohydrates"": 82.8, ""calories"": 308.0}"
cranberry sauce canned sweetened,0.9,0.15,40.4,159.0,"{""proteins"": 0.9, ""fats"": 0.15, ""carbohydrates"": 40.4, ""calories"": 159.0}"
cranberry-orange relish canned,0.3,0.1,46.2,178.0,"{""proteins"": 0.3, ""fats"": 0.1, ""carbohydrates"": 46.2, ""calories"": 178.0}"
currants european black raw,1.4,0.41,15.38,63.0,"{""proteins"": 1.4, ""fats"": 0.41, ""carbohydrates"": 15.38, ""calories"": 63.0}"
currants red and white raw,1.4,0.2,13.8,56.0,"{""proteins"": 1.4, ""fats"": 0.2, ""carbohydrates"": 13.8, ""calories"": 56.0}"
currants zante dried,4.08,0.27,74.08,283.0,"{""proteins"": 4.08, ""fats"": 0.27, ""carbohydrates"": 74.08, ""calories"": 283.0}"
custard-apple (bullock's-heart) raw,1.7,0.6,25.2,101.0,"{""proteins"": 1.7, ""fats"": 0.6, ""carbohydrates"": 25.2, ""calories"": 101.0}"
dates deglet noor,2.45,0.39,75.03,282.0,"{""proteins"": 2.45, ""fats"": 0.39, ""carbohydrates"": 75.03, ""calories"": 282.0}"
elderberries raw,0.66,0.5,18.4,73.0,"{""proteins"": 0.66, ""fats"": 0.5, ""carbohydrates"": 18.4, ""calories"": 73.0}"
figs raw,0.75,0.3,19.18,74.0,"{""proteins"": 0.75, ""fats"": 0.3, ""carbohydrates"": 19.18, ""calories"": 74.0}"
figs canned water pack solids and liquids,0.4,0.1,13.99,53.0,"{""proteins"": 0.4, ""fats"": 0.1, ""carbohydrates"": 13.99, ""calories"": 53.0}"
figs canned light syrup pack solids and liquids,0.39,0.1,17.95,69.0,"{""proteins"": 0.39, ""fats"": 0.1, ""carbohydrates"": 17.95, ""calories"": 69.0}"
figs canned heavy syrup pack solids and liquids,0.38,0.1,22.9,88.0,"{""proteins"": 0.38, ""fats"": 0.1, ""carbohydrates"": 22.9, ""calories"": 88.0}"
figs canned extra heavy syrup pack solids and liquids,0.38,0.1,27.86,107.0,"{""proteins"": 0.38, ""fats"": 0.1, ""carbohydrates"": 27.86, ""calories"": 107.0}"
figs dried uncooked,3.3,0.93,63.87,249.0,"{""proteins"": 3.3, ""fats"": 0.93, ""carbohydrates"": 63.87, ""calories"": 249.0}"
figs dried stewed,1.42,0.4,27.57,107.0,"{""proteins"": 1.42, ""fats"": 0.4, ""carbohydrates"": 27.57, ""calories"": 107.0}"
fruit cocktail (peach and pineapple and pear and grape and cherry) canned water pack solids and liquids,0.42,0.05,8.51,32.0,"{""proteins"": 0.42, ""fats"": 0.05, ""carbohydrates"": 8.51, ""calories"": 32.0}"
fruit cocktail (peach and pineapple and pear and grape and cherry) canned juice pack solids and liquids,0.46,0.01,11.86,46.0,"{""proteins"": 0.46, ""fats"": 0.01, ""carbohydrates"": 11.86, ""calories"": 46.0}"
fruit cocktail (peach and pineapple and pear and grape and cherry) canned extra light syrup solids and liquids,0.4,0.07,11.63,45.0,"{""proteins"": 0.4, ""fats"": 0.07, ""carbohydrates"": 11.63, ""calories"": 45.0}"
fruit cocktail (peach and pineapple and pear and grape and cherry) canned light syrup solids and liquids,0.4,0.07,14.93,57.0,"{""proteins"": 0.4, ""fats"": 0.07, ""carbohydrates"": 14.93, ""calories"": 57.0}"
fruit cocktail (peach and pineapple and pear and grape and cherry) canned heavy syrup solids and liquids,0.39,0.07,18.91,73.0,"{""proteins"": 0.39, ""fats"": 0.07, ""carbohydrates"": 18.91, ""calories"": 73.0}"
fruit cocktail (peach and pineapple and pear and grape and cherry) canned extra heavy syrup solids and liquids,0.39,0.07,22.89,88.0,"{""proteins"": 0.39, ""fats"": 0.07, ""carbohydrates"": 22.89, ""calories"": 88.0}"
fruit salad (peach and pear and apricot and pineapple and cherry) canned water pack solids and liquids,0.35,0.07,7.87,30.0,"{""proteins"": 0.35, ""fats"": 0.07, ""carbohydrates"": 7.87, ""calories"": 30.0}"
fruit salad (peach and pear and apricot and pineapple and cherry) canned juice pack solids and liquids,0.51,0.03,13.05,50.0,"{""proteins"": 0.51, ""fats"": 0.03, ""carbohydrates"": 13.05, ""calories"": 50.0}"
fruit salad (peach and pear and apricot and pineapple and cherry) canned light syrup solids and liquids,0.34,0.07,15.14,58.0,"{""proteins"": 0.34, ""fats"": 0.07, ""carbohydrates"": 15.14, ""calories"": 58.0}"
fruit salad (peach and pear and apricot and pineapple and cherry) canned heavy syrup solids and liquids,0.34,0.07,19.11,73.0,"{""proteins"": 0.34, ""fats"": 0.07, ""carbohydrates"": 19.11, ""calories"": 73.0}"
fruit salad (peach and pear and apricot and pineapple and cherry) canned extra heavy syrup solids and liquids,0.33,0.06,22.77,88.0,"{""proteins"": 0.33, ""fats"": 0.06, ""carbohydrates"": 22.77, ""calories"": 88.0}"
gooseberries raw,0.88,0.58,10.18,44.0,"{""proteins"": 0.88, ""fats"": 0.58, ""carbohydrates"": 10.18, ""calories"": 44.0}"
gooseberries canned light syrup pack solids and liquids,0.65,0.2,18.75,73.0,"{""proteins"": 0.65, ""fats"": 0.2, ""carbohydrates"": 18.75, ""calories"": 73.0}"
goji berries dried,14.26,0.39,77.06,349.0,"{""proteins"": 14.26, ""fats"": 0.39, ""carbohydrates"": 77.06, ""calories"": 349.0}"
grapefruit raw pink and red and white all areas,0.63,0.1,8.08,32.0,"{""proteins"": 0.63, ""fats"": 0.1, ""carbohydrates"": 8.08, ""calories"": 32.0}"
grapefruit raw pink and red all areas,0.77,0.14,10.66,42.0,"{""proteins"": 0.77, ""fats"": 0.14, ""carbohydrates"": 10.66, ""calories"": 42.0}"
grapefruit raw pink and red california and arizona,0.5,0.1,9.69,37.0,"{""proteins"": 0.5, ""fats"": 0.1, ""carbohydrates"": 9.69, ""calories"": 37.0}"
grapefruit raw pink and red florida,0.55,0.1,7.5,30.0,"{""proteins"": 0.55, ""fats"": 0.1, ""carbohydrates"": 7.5, ""calories"": 30.0}"
grapefruit raw white all areas,0.69,0.1,8.41,33.0,"{""proteins"": 0.69, ""fats"": 0.1, ""carbohydrates"": 8.41, ""calories"": 33.0}"
grapefruit raw white california,0.88,0.1,9.09,37.0,"{""proteins"": 0.88, ""fats"": 0.1, ""carbohydrates"": 9.09, ""calories"": 37.0}"
grapefruit raw white florida,0.63,0.1,8.19,32.0,"{""proteins"": 0.63, ""fats"": 0.1, ""carbohydrates"": 8.19, ""calories"": 32.0}"
grapefruit sections canned water pack solids and liquids,0.58,0.1,9.15,36.0,"{""proteins"": 0.58, ""fats"": 0.1, ""carbohydrates"": 9.15, ""calories"": 36.0}"
grapefruit sections canned juice pack solids and liquids,0.7,0.09,9.21,37.0,"{""proteins"": 0.7, ""fats"": 0.09, ""carbohydrates"": 9.21, ""calories"": 37.0}"
grapefruit sections canned light syrup pack solids and liquids,0.56,0.1,15.44,60.0,"{""proteins"": 0.56, ""fats"": 0.1, ""carbohydrates"": 15.44, ""calories"": 60.0}"
grapefruit juice white canned or bottled unsweetened,0.58,0.1,7.93,34.0,"{""proteins"": 0.58, ""fats"": 0.1, ""carbohydrates"": 7.93, ""calories"": 34.0}"
grapefruit juice white canned sweetened,0.58,0.09,11.13,46.0,"{""proteins"": 0.58, ""fats"": 0.09, ""carbohydrates"": 11.13, ""calories"": 46.0}"
grapefruit juice white frozen concentrate unsweetened undiluted,1.97,0.48,34.56,146.0,"{""proteins"": 1.97, ""fats"": 0.48, ""carbohydrates"": 34.56, ""calories"": 146.0}"
grapefruit juice white frozen concentrate unsweetened diluted with 3 volume water,0.55,0.13,9.73,41.0,"{""proteins"": 0.55, ""fats"": 0.13, ""carbohydrates"": 9.73, ""calories"": 41.0}"
grapefruit juice pink or red with added calcium,0.5,0.1,8.69,38.0,"{""proteins"": 0.5, ""fats"": 0.1, ""carbohydrates"": 8.69, ""calories"": 38.0}"
grapefruit juice white raw,0.5,0.1,9.2,39.0,"{""proteins"": 0.5, ""fats"": 0.1, ""carbohydrates"": 9.2, ""calories"": 39.0}"
grapes muscadine raw,0.81,0.47,13.93,57.0,"{""proteins"": 0.81, ""fats"": 0.47, ""carbohydrates"": 13.93, ""calories"": 57.0}"
grape juice canned or bottled unsweetened with added ascorbic acid,0.37,0.13,14.77,60.0,"{""proteins"": 0.37, ""fats"": 0.13, ""carbohydrates"": 14.77, ""calories"": 60.0}"
grapes american type (slip skin) raw,0.63,0.35,17.15,67.0,"{""proteins"": 0.63, ""fats"": 0.35, ""carbohydrates"": 17.15, ""calories"": 67.0}"
grapes red or green (european type such as thompson seedless) raw,0.72,0.16,18.1,69.0,"{""proteins"": 0.72, ""fats"": 0.16, ""carbohydrates"": 18.1, ""calories"": 69.0}"
grapes canned thompson seedless water pack solids and liquids,0.5,0.11,10.3,40.0,"{""proteins"": 0.5, ""fats"": 0.11, ""carbohydrates"": 10.3, ""calories"": 40.0}"
grapes canned thompson seedless heavy syrup pack solids and liquids,0.48,0.1,19.65,76.0,"{""proteins"": 0.48, ""fats"": 0.1, ""carbohydrates"": 19.65, ""calories"": 76.0}"
grape juice canned or bottled unsweetened without added ascorbic acid,0.37,0.13,14.77,60.0,"{""proteins"": 0.37, ""fats"": 0.13, ""carbohydrates"": 14.77, ""calories"": 60.0}"
groundcherries (cape-gooseberries or poha) raw,1.9,0.7,11.2,53.0,"{""proteins"": 1.9, ""fats"": 0.7, ""carbohydrates"": 11.2, ""calories"": 53.0}"
guavas common raw,2.55,0.95,14.32,68.0,"{""proteins"": 2.55, ""fats"": 0.95, ""carbohydrates"": 14.32, ""calories"": 68.0}"
guavas strawberry raw,0.58,0.6,17.36,69.0,"{""proteins"": 0.58, ""fats"": 0.6, ""carbohydrates"": 17.36, ""calories"": 69.0}"
guava sauce cooked,0.32,0.14,9.48,36.0,"{""proteins"": 0.32, ""fats"": 0.14, ""carbohydrates"": 9.48, ""calories"": 36.0}"
jackfruit raw,1.72,0.64,23.25,95.0,"{""proteins"": 1.72, ""fats"": 0.64, ""carbohydrates"": 23.25, ""calories"": 95.0}"
java-plum (jambolan) raw,0.72,0.23,15.56,60.0,"{""proteins"": 0.72, ""fats"": 0.23, ""carbohydrates"": 15.56, ""calories"": 60.0}"
jujube raw,1.2,0.2,20.23,79.0,"{""proteins"": 1.2, ""fats"": 0.2, ""carbohydrates"": 20.23, ""calories"": 79.0}"
jujube chinese fresh dried,4.72,0.5,72.52,281.0,"{""proteins"": 4.72, ""fats"": 0.5, ""carbohydrates"": 72.52, ""calories"": 281.0}"
kiwifruit green raw,1.14,0.52,14.66,61.0,"{""proteins"": 1.14, ""fats"": 0.52, ""carbohydrates"": 14.66, ""calories"": 61.0}"
kumquats raw,1.88,0.86,15.9,71.0,"{""proteins"": 1.88, ""fats"": 0.86, ""carbohydrates"": 15.9, ""calories"": 71.0}"
lemons raw without peel,1.1,0.3,9.32,29.0,"{""proteins"": 1.1, ""fats"": 0.3, ""carbohydrates"": 9.32, ""calories"": 29.0}"
lemon juice raw,0.35,0.24,6.9,22.0,"{""proteins"": 0.35, ""fats"": 0.24, ""carbohydrates"": 6.9, ""calories"": 22.0}"
lemon juice from concentrate canned or bottled,0.45,0.07,5.62,17.0,"{""proteins"": 0.45, ""fats"": 0.07, ""carbohydrates"": 5.62, ""calories"": 17.0}"
lemon juice frozen unsweetened single strength,0.46,0.32,6.5,22.0,"{""proteins"": 0.46, ""fats"": 0.32, ""carbohydrates"": 6.5, ""calories"": 22.0}"
lemon peel raw,1.5,0.3,16.0,47.0,"{""proteins"": 1.5, ""fats"": 0.3, ""carbohydrates"": 16.0, ""calories"": 47.0}"
limes raw,0.7,0.2,10.54,30.0,"{""proteins"": 0.7, ""fats"": 0.2, ""carbohydrates"": 10.54, ""calories"": 30.0}"
lime juice raw,0.42,0.07,8.42,25.0,"{""proteins"": 0.42, ""fats"": 0.07, ""carbohydrates"": 8.42, ""calories"": 25.0}"
lime juice canned or bottled unsweetened,0.25,0.23,6.69,21.0,"{""proteins"": 0.25, ""fats"": 0.23, ""carbohydrates"": 6.69, ""calories"": 21.0}"
blueberries dried sweetened,2.5,2.5,80.0,317.0,"{""proteins"": 2.5, ""fats"": 2.5, ""carbohydrates"": 80.0, ""calories"": 317.0}"
litchis raw,0.83,0.44,16.53,66.0,"{""proteins"": 0.83, ""fats"": 0.44, ""carbohydrates"": 16.53, ""calories"": 66.0}"
litchis dried,3.8,1.2,70.7,277.0,"{""proteins"": 3.8, ""fats"": 1.2, ""carbohydrates"": 70.7, ""calories"": 277.0}"
loganberries frozen,1.52,0.31,13.02,55.0,"{""proteins"": 1.52, ""fats"": 0.31, ""carbohydrates"": 13.02, ""calories"": 55.0}"
longans raw,1.31,0.1,15.14,60.0,"{""proteins"": 1.31, ""fats"": 0.1, ""carbohydrates"": 15.14, ""calories"": 60.0}"
longans dried,4.9,0.4,74.0,286.0,"{""proteins"": 4.9, ""fats"": 0.4, ""carbohydrates"": 74.0, ""calories"": 286.0}"
loquats raw,0.43,0.2,12.14,47.0,"{""proteins"": 0.43, ""fats"": 0.2, ""carbohydrates"": 12.14, ""calories"": 47.0}"
mammy-apple (mamey) raw,0.5,0.5,12.5,51.0,"{""proteins"": 0.5, ""fats"": 0.5, ""carbohydrates"": 12.5, ""calories"": 51.0}"
mangos raw,0.82,0.38,14.98,60.0,"{""proteins"": 0.82, ""fats"": 0.38, ""carbohydrates"": 14.98, ""calories"": 60.0}"
mangosteen canned syrup pack,0.41,0.58,17.91,73.0,"{""proteins"": 0.41, ""fats"": 0.58, ""carbohydrates"": 17.91, ""calories"": 73.0}"
mango dried sweetened,2.45,1.18,78.58,319.0,"{""proteins"": 2.45, ""fats"": 1.18, ""carbohydrates"": 78.58, ""calories"": 319.0}"
melons cantaloupe raw,0.84,0.19,8.16,34.0,"{""proteins"": 0.84, ""fats"": 0.19, ""carbohydrates"": 8.16, ""calories"": 34.0}"
melons casaba raw,1.11,0.1,6.58,28.0,"{""proteins"": 1.11, ""fats"": 0.1, ""carbohydrates"": 6.58, ""calories"": 28.0}"
melons honeydew raw,0.54,0.14,9.09,36.0,"{""proteins"": 0.54, ""fats"": 0.14, ""carbohydrates"": 9.09, ""calories"": 36.0}"
melon balls frozen,0.84,0.25,7.94,33.0,"{""proteins"": 0.84, ""fats"": 0.25, ""carbohydrates"": 7.94, ""calories"": 33.0}"
mulberries raw,1.44,0.39,9.8,43.0,"{""proteins"": 1.44, ""fats"": 0.39, ""carbohydrates"": 9.8, ""calories"": 43.0}"
nectarines raw,1.06,0.32,10.55,44.0,"{""proteins"": 1.06, ""fats"": 0.32, ""carbohydrates"": 10.55, ""calories"": 44.0}"
oheloberries raw,0.38,0.22,6.84,28.0,"{""proteins"": 0.38, ""fats"": 0.22, ""carbohydrates"": 6.84, ""calories"": 28.0}"
olives ripe canned (small-extra large),0.84,10.68,6.26,115.0,"{""proteins"": 0.84, ""fats"": 10.68, ""carbohydrates"": 6.26, ""calories"": 115.0}"
olives ripe canned (jumbo-super colossal),0.97,6.87,5.61,81.0,"{""proteins"": 0.97, ""fats"": 6.87, ""carbohydrates"": 5.61, ""calories"": 81.0}"
olives pickled canned or bottled green,1.03,15.32,3.84,145.0,"{""proteins"": 1.03, ""fats"": 15.32, ""carbohydrates"": 3.84, ""calories"": 145.0}"
oranges raw all commercial varieties,0.94,0.12,11.75,47.0,"{""proteins"": 0.94, ""fats"": 0.12, ""carbohydrates"": 11.75, ""calories"": 47.0}"
oranges raw california valencias,1.04,0.3,11.89,49.0,"{""proteins"": 1.04, ""fats"": 0.3, ""carbohydrates"": 11.89, ""calories"": 49.0}"
oranges raw navels,0.91,0.15,12.54,49.0,"{""proteins"": 0.91, ""fats"": 0.15, ""carbohydrates"": 12.54, ""calories"": 49.0}"
